user,path,loadtime,timestamps
eokafor,/api/,0.009,2026-02-20 15:46:24.845204
eokafor,/api/products/,0.134,2026-02-20 15:46:25.987057
eokafor,/api/products/?page=2,0.033,2026-02-20 15:46:28.162414
eokafor,/api/products/,0.028,2026-02-20 15:46:30.317082
eokafor,/api/,0.007,2026-02-20 15:46:31.732756
eokafor,/api/products/,0.057,2026-02-20 15:46:32.908543
eokafor,/api/,0.007,2026-02-20 15:46:34.732206
eokafor,/api/orders/,0.072,2026-02-20 15:46:36.397887
AnonymousUser,/api-auth/logout/?next=/api/orders/,0.04,2026-02-21 09:28:43.144520
AnonymousUser,/api/orders/,0.073,2026-02-21 09:28:43.222223
AnonymousUser,/api-auth/login/?next=/api/orders/,0.013,2026-02-21 09:28:45.481246
admin,/api-auth/login/,0.778,2026-02-21 09:28:48.095102
admin,/api/orders/,0.126,2026-02-21 09:28:48.239968
admin,/api/,0.006,2026-02-21 09:28:53.859176
admin,/api/order_items/,0.095,2026-02-21 09:28:56.541688
admin,/api/order_items/,0.049,2026-02-21 09:28:58.351190
admin,/api/order_items/2,0.016,2026-02-21 09:29:02.348708
admin,/api/order_items/2/,0.131,2026-02-21 09:29:02.495500
admin,/api/order_items/2/,0.187,2026-02-21 09:38:05.383664
admin,/api/order_items/2/,0.085,2026-02-21 09:38:48.154342
admin,/api/order_items/,0.083,2026-02-21 09:38:51.008622
admin,/api/order_items/?page=2,0.05,2026-02-21 09:39:24.613690
admin,/api/order_items/,0.052,2026-02-21 09:39:34.189694
admin,/api/order_items/?page=2,0.132,2026-02-21 09:40:57.222702
admin,/api/order_items/?page=2,0.115,2026-02-21 09:41:06.097902
admin,/api/order_items/?page=2,0.116,2026-02-21 09:41:39.230221
admin,/api/order_items/?page=3,0.048,2026-02-21 09:41:40.787992
admin,/api/order_items/?page=2,0.045,2026-02-21 09:41:41.830090
admin,/api/order_items/,GET,0.086,2026-02-21 10:35:52.465531
admin,/api/order_items/?page=2,GET,0.068,2026-02-21 10:35:53.470925
admin,/api/order_items/?page=2,GET,0.05,2026-02-23 10:26:56.878332
admin,/api/order_items/?page=2,GET,0.041,2026-02-23 10:30:22.051096
admin,/api/,GET,0.025,2026-02-23 10:30:31.026884
admin,/api/,GET,0.049,2026-02-23 10:45:12.883209
admin,/api/,GET,0.103,2026-02-23 10:46:31.736438
admin,/api/,GET,0.041,2026-02-23 10:52:00.254025
admin,/api/,GET,0.037,2026-02-23 11:00:26.207919
admin,/api/,GET,0.033,2026-02-23 11:06:02.984839
admin,/api/,GET,0.055,2026-02-23 11:08:21.689612
admin,/api/,GET,0.031,2026-02-23 11:08:22.900467
admin,/api/,GET,0.03,2026-02-23 11:08:23.914467
admin,/api/,GET,0.062,2026-02-23 11:08:38.809443
admin,/api/users/,GET,0.0,2026-02-23 11:08:44.980388
admin,/api/users/,GET,0.0,2026-02-23 11:08:51.473397
admin,/api/orders/,GET,0.121,2026-02-23 11:08:56.924007
admin,/api/orders/,GET,0.08,2026-02-23 11:09:14.307093
admin,/api/orders/,GET,0.143,2026-02-23 11:09:30.884612
admin,/api/orders/,GET,0.0,2026-02-23 11:09:37.240956
admin,/api/orders/,GET,0.0,2026-02-23 11:09:41.145418
admin,/api/products/,GET,0.133,2026-02-23 11:09:48.210801
admin,/api/,GET,0.011,2026-02-23 11:10:25.627500
admin,/api/orders/,GET,0.0,2026-02-23 11:12:19.675806
admin,/api/,GET,0.058,2026-02-23 13:33:53.381441
admin,/api/,GET,0.008,2026-02-23 13:34:36.761103
admin,/api/,GET,0.009,2026-02-23 13:34:37.139058
admin,/api/,GET,0.012,2026-02-23 13:34:37.482898
admin,/api/,GET,0.006,2026-02-23 13:34:37.833030
admin,/api/,GET,0.012,2026-02-23 13:34:38.196480
admin,/api/,GET,0.018,2026-02-23 13:34:38.584715
admin,/api/,GET,0.016,2026-02-23 13:34:38.922922
admin,/api/,GET,0.027,2026-02-23 13:34:39.325015
admin,/api/,GET,0.025,2026-02-23 13:34:40.400808
admin,/api/,GET,0.028,2026-02-23 13:34:41.240970
admin,/api/,GET,0.04,2026-02-23 13:36:30.632702
admin,/api/,GET,0.071,2026-02-23 13:37:09.415591
